,Ra(J2000) deg,Dec(J2000) deg,J,H,Ks,Types,R,DCG
0,296.18398,-14.78018,18.23,17.51,17.12,O,,0.050790358336990235
1,296.25229,-14.78475,17.49,16.54,16.08,O,,0.027984468906875493
2,296.20415,-14.63486,16.58,15.91,15.46,O,,0.168801062200448
3,296.22364,-14.77473,16.44,15.58,15.13,O,,0.027680556352796776
4,296.21816,-14.88035,16.3,15.53,15.09,O,,0.07956587208093809
5,296.21322,-14.68097,16.35,15.55,15.07,O,,0.12186081568741111
6,296.25088,-14.76786,15.5,14.68,14.19,O,,0.0397377717039968
7,296.18801,-14.87231,15.88,15.19,14.68,O,,0.08217767154160549
8,296.26702,-14.76311,15.46,14.67,14.18,O,,0.053454223406563944
9,296.21293,-14.73224,13.72,12.97,12.57,O,,0.0714976209394527
10,296.20389,-14.75535,18.03,17.11,16.59,C,,0.05317212145477042
11,296.23639,-14.83054,17.7,16.76,16.04,C,,0.029568716576804228
12,296.18011,-14.71067,17.88,16.89,16.39,C,,0.10377866881011896
13,296.28567,-14.73952,18.01,17.04,16.39,C,,0.08343723029916464
14,296.21027,-14.75973,17.89,16.91,16.29,C,,0.046349072266891535
15,296.18048,-14.80431,18.2,16.91,15.94,C,,0.049590321636413325
16,296.17438,-14.83893,18.58,17.16,16.11,C,,0.0669469342091456
17,296.29065,-14.69641,17.8,16.82,16.14,C,,0.12148287986379422
18,296.17703,-14.71031,17.84,16.76,16.02,C,,0.10560525791835221
19,296.21802,-14.92573,17.67,16.56,15.86,C,,0.12463708918295498
20,296.23352,-14.80653,17.87,16.61,15.62,C,,0.0060008332754601275
21,296.27563,-14.74923,19.93,18.27,16.57,C,,0.06951295203051189
22,296.19489,-14.82267,18.1,16.85,15.86,C,,0.04091102663099822
23,296.17468,-14.79389,18.0,16.75,15.88,C,,0.05586439653302826
24,296.30014,-14.87872,18.37,17.07,15.88,C,,0.10419367591172354
25,296.22632,-14.72554,18.04,16.71,15.66,C,,0.07621889070302781
26,296.19647,-14.70265,18.21,16.6,15.31,C,,0.10454291606800853
27,296.30347,-14.74166,18.7,17.18,15.98,C,,0.09486327529659716
28,296.17462,-14.78854,18.42,17.09,16.03,C,,0.056915211499225155
29,296.19916,-14.8616,20.21,18.61,16.99,C,,0.0673996327883223
30,296.21259,-14.80142,18.38,16.9,15.79,C,,0.017411794852955846
31,296.18277,-14.74815,18.03,16.62,15.59,C,,0.0713797121036582
32,296.21729,-14.77647,18.37,16.99,15.78,C,,0.028223821498880645
33,296.22229,-14.90997,18.95,17.42,16.28,C,,0.10857409497665844
34,296.22934,-14.65254,17.98,16.59,15.56,C,,0.14913146046357864
35,296.24048,-14.84939,19.1,17.38,15.96,C,,0.0488572287384316
36,296.29919,-14.69143,17.56,16.22,15.16,C,,0.13015419201853895
